"CreditMemo No","Invoice Number","Return Date","Seller Sku","Product Name"
"R-AZ-00001-2019-EU","AZ-06456-2018-EU","2019-01-02 03:07:52","RO-ZS9W-VM4P","Cooler Master G750M PC Netzteil 'Semi-Modular, 80 Plus Bronze, 750W' RS750-AMAAB1-EU"
"R-AZ-00002-2019-EU","AZ-06164-2018-EU","2019-01-02 03:31:46","RO-ZS9W-VM4P","Cooler Master G750M PC Netzteil 'Semi-Modular, 80 Plus Bronze, 750W' RS750-AMAAB1-EU"
"R-AZ-00003-2019-EU","AZ-08005-2018-EU","2019-01-02 08:46:52","NJ-HPAB-I799","Samsung 4 GB (1 x 4 GB) DDR3 1600 MHz (PC3 12800S portátil) So DIMM Memoria RAM Memory"
"R-AZ-00004-2019-EU","AZ-07393-2018-EU","2019-01-02 09:13:52","RO-V16N-9YTW","Cooler Master V650 PC Netzteil 'Voll-modular, 80 Plus Gold, 650W' RS650-AFBAG1-EU"
"R-AZ-00005-2019-EU","AZ-08286-2018-EU","2019-01-02 12:17:40","KVR800D2S6-2G","Kingston Simm Memoria RAM, SO DDRII, PC800, 2GB, CL6, Nero"
"R-AZ-00006-2019-EU","AZ-06354-2018-EU","2019-01-02 13:43:28","RO-ZS9W-VM4P","Cooler Master G750M Alimentatore  'Semi-Modulare, 80 Plus Bronze, 750W' RS750-AMAAB1-EU"
"R-AZ-00007-2019-EU","AZ-07142-2018-EU","2019-01-02 14:03:36","HTS721010A9E630","HGST HTS721010A9E630 HDD 2,5&quot;, 1 TB, Nero"
"R-AZ-00008-2019-EU","AZ-07194-2018-EU","2019-01-02 15:32:19","RO-ZS9W-VM4P","Cooler Master G750M Alimentation PC 'Modulaire, 80 Plus Bronze, 750W' RS750-AMAAB1-UK"
"R-AZ-00009-2019-EU","AZ-07365-2018-EU","2019-01-02 18:20:41","SGK-3040-KKMF1-IT","Cooler Master Masterkeys LITE L Tastiera, Nero"
"R-AZ-00010-2019-EU","AZ-03269-2018-EU","2019-01-02 18:54:04","KVR1333D3N9/4G","Kingston CL9 Arbeitsspeicher 4GB (1333 MHz) DDR3-RAM"
"R-AZ-00011-2019-EU","AZ-04950-2018-EU","2019-01-02 19:51:56","WS-1OG6-8H52","Cooler Master MasterWatt Lite 700 230V Alimentatore  'Non-Modulare, 80 Plus White, 700W' MPX-7001-ACABW-EU"
"R-AZ-00012-2019-EU","AZ-07225-2018-EU","2019-01-02 22:01:55","DIMMDDR2_667_2X2GB","Kingston 4Gb 667Mhz Ddr2 Non-Ecc Cl5 Dimm"
"R-AZ-00013-2019-EU","AZ-00048-2019-EU","2019-01-03 01:34:51","OH-IQ21-OV41","Samsung 4GB DDR3 1333MHz Unbuffered SODIMM 4GB DDR3 1333MHz módulo de - Memoria (4 GB, 1 x 4 GB, DDR3, 1333 MHz, 204-pin SO-DIMM)"
"R-AZ-00014-2019-EU","AZ-08178-2018-EU","2019-01-03 01:37:18","BK-6EEZ-WJYP","Cooler Master - SGS-4140-KXXL1- Swift-RX Extra Large Tapis de souris 'Faible friction- Haute Précision Maille- Base anti-dérapante- Bords cousus'"
"R-AZ-00015-2019-EU","AZ-07543-2018-EU","2019-01-03 01:50:28","EFC-1H8SPECSTD","Samsung Original Diarytasche für Samsung Galaxy Tab 2 (10.1 Zoll) berry pink"
"R-AZ-00016-2019-EU","AZ-07761-2018-EU","2019-01-03 02:32:58","RR-V8VC-16PR-R2","Cooler Master V8 Ver.2 Ventilateurs de processeur '8 Heatpipes, 1x ventilateur 140mm PWM, 4-Pin Connector' RR-V8VC-16PR-R2"
"R-AZ-00017-2019-EU","AZ-08213-2018-EU","2019-01-03 02:46:19","ST9500420AS","Seagate Momentus ST9500420AS 500Go 2.5&quot;"
"R-AZ-00018-2019-EU","AZ-07030-2018-EU","2019-01-03 05:49:41","QO-RN20-M4XY","Cooler Master MasterWatt 750 EU Alimentation PC 'Semi-Fanless Modular, 80 Plus Bronze, 750W' MPX-7501-AMAAB-EU"
"R-AZ-00019-2019-EU","AZ-07970-2018-EU","2019-01-03 07:58:47","HMT351S6EFR8C-PB","Hynix 4 GB 204 pin DDR3 - 1600 SO-DIMM originale (1600 MHz, PC3 - 12800S) HMT351S6EFR8 C - Pb N0 AA"
"R-AZ-00020-2019-EU","AZ-07686-2018-EU","2019-01-03 13:38:49","MASTERBOX5_MSI","Cooler Master MasterBox 5 MSI Gaming Edition Case per PC 'ATX, microATX, Mini-ITX, USB 3.0, con Finestra Laterale' MCX-B5S2-KWNN-03-MI"
"R-AZ-00021-2019-EU","AZ-07045-2018-EU","2019-01-03 14:47:36","WD5000AAKX","WD Blue Disque dur interne (Bulk) Desktop Mainstream 500 Go 3,5 pouces SATA 7200 RPM"
"R-AZ-00022-2019-EU","AZ-06384-2018-EU","2019-01-03 21:44:23","ST3500312CS","Seagate ST3500312CS HDD, 500GB, Nero"
"R-AZ-00023-2019-EU","AZ-07877-2018-EU","2019-01-04 03:05:16","6G-5UKX-IA09","Toshiba MK3276GSX 320GB interne Festplatte (6,3 cm (2,5 Zoll), 5400rpm, 8MB Cache, SATA)"
"R-AZ-00024-2019-EU","AZ-07716-2018-EU","2019-01-04 03:57:26","M8-FAVN-34Q4","Nanya Hynix Elpida Micron Samsung Memoria RAM da 4GB (1 x 4GB) DDR3 1333MHz (PC3 10600S) SO DIMM per PC portatile"
"R-AZ-00025-2019-EU","AZ-08341-2018-EU","2019-01-04 04:11:21","HMT351S6EFR8C-PB","Hynix 4 GB 204 pin DDR3 - 1600 SO-DIMM originale (1600 MHz, PC3 - 12800S) HMT351S6EFR8 C - Pb N0 AA"
"R-AZ-00026-2019-EU","AZ-05153-2018-EU","2019-01-04 05:07:12","ST500DM002","Seagate Desktop HDD  500 GB; interne Festplatte; 3.5&quot;, SATA; 6GB/s, 16 MB Cache - ST500DM002"
"R-AZ-00027-2019-EU","AZ-06778-2018-EU","2019-01-04 15:24:15","RO-ZS9W-VM4P","Cooler Master G750M PC Netzteil 'Semi-Modular, 80 Plus Bronze, 750W' RS750-AMAAB1-EU"
"R-AZ-00028-2019-EU","AZ-07360-2018-EU","2019-01-04 17:50:16","KVR667D2S5-2G","Kingston 2Gb 667Mhz Ddr2 Cl5 Sodimm"
"R-AZ-00029-2019-EU","AZ-05922-2018-EU","2019-01-04 18:09:08","HN-X0DG-WSJ2","Cooler Master CM Storm MasterKeys Lite L Combo RGB USB Italiano Nero"
"R-AZ-00030-2019-EU","AZ-07510-2018-EU","2019-01-04 20:29:27","HTS547575A9E384","Hitachi Travelstar 0J11563 750GB interne Festplatte (6,4 cm (2,5 Zoll), 5400rpm, 8MB Cache, SATA II)"
"R-AZ-00031-2019-EU","AZ-07260-2018-EU","2019-01-04 21:02:23","KVR667D2S5-2G","Kingston KVR667D2S5/2G RAM 2Go 667MHz DDR2 Non-ECC CL5 SODIMM, 200-pin, 1.8V"
"R-AZ-00032-2019-EU","AZ-07247-2018-EU","2019-01-04 21:21:57","EBJ40UG8BBU0-GN-F-4G","Barrette Mémoire RAM Sodimm 4Go DDR3 PC3-12800S Elpida EBJ40UG8BBU0-GN-F CL11"
"R-AZ-00033-2019-EU","AZ-05276-2018-EU","2019-01-04 21:40:23","JZ-LIBE-6PL5","Cooler Master MasterLiquid Lite 120 CPU Liquid Cooler '120mm Radiator , 1x MasterFan Pro 120 AB PWM Fan, White LED' MLW-D12M-A20PW-R1"
"R-AZ-00034-2019-EU","AZ-04281-2018-EU","2019-01-07 05:10:59","WD5000AAKX","WD Blue Disque dur interne (Bulk) Desktop Mainstream 500 Go 3,5 pouces SATA 7200 RPM"
"R-AZ-00035-2019-EU","AZ-08416-2018-EU","2019-01-07 05:41:07","BK-6EEZ-WJYP","Cooler Master - SGS-4140-KXXL1- Swift-RX Extra Large Tapis de souris 'Faible friction- Haute Précision Maille- Base anti-dérapante- Bords cousus'"
"R-AZ-00036-2019-EU","AZ-07549-2018-EU","2019-01-07 07:00:02","RO-ZS9W-VM4P","Cooler Master G750M Alimentation PC 'Modulaire, 80 Plus Bronze, 750W' RS750-AMAAB1-UK"
"R-AZ-00037-2019-EU","AZ-07652-2018-EU","2019-01-07 07:59:37","WD5000AAKX","WD Blue Disque dur interne (Bulk) Desktop Mainstream 500 Go 3,5 pouces SATA 7200 RPM"
"R-AZ-00038-2019-EU","AZ-06233-2018-EU","2019-01-07 10:21:23","CT2C2G3S1067MCEU","Crucial CT2C2G3S1067MCEU  4Go Kit (2Gox2) (DDR3, 1066 MT/s, PC3-8500, SODIMM, 204-Pin) Mémoire pour Mac"
"R-AZ-00039-2019-EU","AZ-08223-2018-EU","2019-01-07 12:24:21","ST3500312CS","Seagate Pipeline HD - Disco duro interno de 500 GB (3.5&quot;, 5900 rpm, Serial ATA-300)"
"R-AZ-00040-2019-EU","AZ-07795-2018-EU","2019-01-07 12:49:23","EBJ40UG8BBU0-GN-F-4G","Barrette Mémoire RAM Sodimm 4Go DDR3 PC3-12800S Elpida EBJ40UG8BBU0-GN-F CL11"
"R-AZ-00041-2019-EU","AZ-07982-2018-EU","2019-01-07 13:36:14","6G-5UKX-IA09","Toshiba 320GB 2.5&quot; SATA disque dur 320 Go - Disques durs (2.5&quot;, 320 Go, 5400 tr/min, SATA, 8 Mo)"
"R-AZ-00042-2019-EU","AZ-05438-2018-EU","2019-01-07 13:40:24","EF-BT210BGEGWW","Samsung EFBT210 Etui à rabat pour Samsung Galaxy Tab 3 7'' Vert"
"R-AZ-00043-2019-EU","AZ-07064-2018-EU","2019-01-07 17:16:26","RO-ZS9W-VM4P","Cooler Master G750M Alimentatore  'Semi-Modulare, 80 Plus Bronze, 750W' RS750-AMAAB1-EU"
"R-AZ-00044-2019-EU","AZ-07736-2018-EU","2019-01-07 17:24:13","B9-O7UZ-HR7U","Cooler Master MasterWatt Lite 400 230V Alimentatore  'Non-Modulare, 80 Plus White, 400W' MPX-4001-ACABW-EU"
"R-AZ-00045-2019-EU","AZ-06910-2018-EU","2019-01-07 17:56:28","RO-ZS9W-VM4P","Cooler Master G750M Alimentation PC 'Modulaire, 80 Plus Bronze, 750W' RS750-AMAAB1-UK"
"R-AZ-00046-2019-EU","AZ-08119-2018-EU","2019-01-07 18:18:49","KVR800D2S6-2G","Kingston KVR800D2S6/2G - Memoria RAM de 2 GB DDR2, 800 MHz"
"R-AZ-00047-2019-EU","AZ-07214-2018-EU","2019-01-07 19:18:27","GX-3ZD5-6QX3","Hynix - Modulo di memoria Ram, 2 GB DDR3-1333 SO-DIMM (PC3-10600S, CL9), 204 poli"
"R-AZ-00048-2019-EU","AZ-07658-2018-EU","2019-01-07 20:41:08","WD5000AAKX","WD Blue - Disco duro para ordenadores de sobremesa de 500 GB (7200 rpm, SATA a 6 Gb/s, 16 MB de caché, 3,5&quot;)"
"R-AZ-00049-2019-EU","AZ-07531-2018-EU","2019-01-07 21:23:44","KVR1333D3S9/2G","Kingston KVR1333D3S9/2G - Memoria RAM 2 GB PC1333 (DDR3)"
"R-AZ-00050-2019-EU","AZ-08515-2018-EU","2019-01-08 05:53:52","MFY-RCSN-NNUDK-R1","Cooler Master MasterAccessory RGB Fan Controller Case Accessory '16.7 Million Colors, 4 Output Channels, Mirage Mode' MFY-RCSN-NNUDK-R1 - Black"
"R-AZ-00051-2019-EU","AZ-07616-2018-EU","2019-01-08 05:54:01","MLY-D12X-A20MB-R1","Cooler Master MasterLiquid Pro 120 CPU Liquid Cooler '120mm Radiator , 2x MasterFan Pro 120 AB PWM Fan, Blue LED' MLY-D12X-A20MB-R1"
"R-AZ-00052-2019-EU","AZ-07717-2018-EU","2019-01-08 05:56:26","KVR800D2S6-2G","Kingston KVR800D2S6/2G Arbeitsspeicher 2GB (DDR2 Non-ECC CL6 SODIMM, 200-pin, 1.8V)"
"R-AZ-00053-2019-EU","AZ-06241-2018-EU","2019-01-08 06:57:03","RO-ZS9W-VM4P","Cooler Master G750M Alimentatore  'Semi-Modulare, 80 Plus Bronze, 750W' RS750-AMAAB1-EU"
"R-AZ-00054-2019-EU","AZ-07486-2018-EU","2019-01-08 08:20:16","MASTERBOX5_MSI","Cooler Master MasterBox 5 MSI Gaming Edition Boîtier PC 'ATX, microATX, Mini-ITX, USB 3.0, Fenêtre latérale' MCX-B5S2-KWNN-03-MI"
"R-AZ-00055-2019-EU","AZ-06968-2018-EU","2019-01-08 09:38:48","WD10EARS","Western Digital WD10EARS Caviar Green 1TB interne Festplatte(8,9 cm (3,5 Zoll), 5400rpm, 8.9 ms, 64MB Cache, SATA)"
"R-AZ-00056-2019-EU","AZ-06111-2018-EU","2019-01-08 11:07:11","KVR1333D3N9/4G","Kingston KVR1333D3N9/4G Mémoire DIMM 1333 4 Go KVR + CL9"
"R-AZ-00057-2019-EU","AZ-08269-2018-EU","2019-01-08 12:50:53","ST3500312CS","Seagate ST3500312CS HDD, 500GB, Nero"
"R-AZ-00058-2019-EU","AZ-06664-2018-EU","2019-01-08 12:55:11","JZ-LIBE-6PL5","Cooler Master MasterLiquid Lite 120 CPU Water Cooler 'Radiateur de 120mm, 1x MasterFan Pro 120 AB PWM Ventilateur, LED Blanche' MLW-D12M-A20PW-R1"
"R-AZ-00059-2019-EU","AZ-04711-2018-EU","2019-01-08 18:08:38","XI-Q1EG-4NMH","HGST  1W10098 - Disco duro interno Travelstar Z7K500 de 500 GB (6,4 cm (2,5 Zoll), 7200rpm, SATA III)"
"R-AZ-00060-2019-EU","AZ-08472-2018-EU","2019-01-08 18:55:13","KVR1333D3S9/2G","Kingston KVR1333D3S9/2G - Memoria RAM 2 GB PC1333 (DDR3)"
"R-AZ-00061-2019-EU","AZ-07278-2018-EU","2019-01-08 20:14:19","WD5000AAKX","WD Blue Disque dur interne (Bulk) Desktop Mainstream 500 Go 3,5 pouces SATA 7200 RPM"
"R-AZ-00062-2019-EU","AZ-07939-2018-EU","2019-01-08 21:31:01","NJ-HPAB-I799","Samsung - Memoria RAM da 4GB (1 x 4GB) DDR3 1600MHz (PC3 12800S) SO Dimm per PC portatile"
"R-AZ-00063-2019-EU","AZ-07248-2018-EU","2019-01-09 01:21:01","HYNIX_4GB_1333","Hynix 4 GB DDR3 1333 MHz 4 GB DDR3 1333 MHz Speicher Modul - 1 x 4 GB, DDR3, 1333 MHz, 204-Pin SO-DIMM Arbeitsspeicher (4GB,)"
"R-AZ-00064-2019-EU","AZ-08481-2018-EU","2019-01-09 02:27:23","NJ-HPAB-I799","Samsung - Memoria RAM da 4GB (1 x 4GB) DDR3 1600MHz (PC3 12800S) SO Dimm per PC portatile"
"R-AZ-00065-2019-EU","AZ-03561-2018-EU","2019-01-09 02:54:02","KVR1333D3N9/4G","Kingston CL9 Arbeitsspeicher 4GB (1333 MHz) DDR3-RAM"
"R-AZ-00066-2019-EU","AZ-04969-2018-EU","2019-01-09 05:43:09","COPPIA_DIMMDDR2_800_2GB","4GB (2 x 2GB) DDR2 800MHz (PC2 6400U) LO Dimm Computer PC Desktop Arbeitsspeicher RAM Memory Samsung Hynix Micron"
"R-AZ-00067-2019-EU","AZ-08430-2018-EU","2019-01-09 14:53:11","RO-V16N-9YTW","Cooler Master V650 PC Netzteil 'Voll-modular, 80 Plus Gold, 650W' RS650-AFBAG1-EU"
"R-AZ-00068-2019-EU","AZ-00014-2019-EU","2019-01-09 15:44:39","KVR667D2S5-2G","Kingston KVR667D2S5/2G - Memoria RAM de 2 GB, DDR2, 667 MHz"
"R-AZ-00069-2019-EU","AZ-06905-2018-EU","2019-01-10 08:43:59","ST1000LM024","Seagate 1TB 2,5 Zoll 5400RPM SATA II Festplatte"
"R-AZ-00070-2019-EU","AZ-06631-2018-EU","2019-01-10 14:27:46","HYNIX_4GB_12800","Hynix 4GB PC3-12800 4GB DDR3 1600MHz módulo de - Memoria (4 GB, 1 x 4 GB, DDR3, 1600 MHz, 204-pin SO-DIMM)"
"R-AZ-00071-2019-EU","AZ-07336-2018-EU","2019-01-10 14:57:32","VY-KYP6-TJ83","Cooler Master V750 Alimentatore  'Modulare, 80 Plus Gold, 750W' RS750-AFBAG1-EU"
"R-AZ-00072-2019-EU","AZ-07873-2018-EU","2019-01-10 18:36:02","M8-FAVN-34Q4","Nanya Hynix Elpida Micron Samsung 4GB (1x 4GB) DDR3 1333MHz (PC3 10600S) SO Dimm Notebook Laptop Arbeitsspeicher RAM Memory"
"R-AZ-00073-2019-EU","AZ-07687-2018-EU","2019-01-10 18:47:03","RS550-AFBAG1-EU","Cooler Master V550 Alimentatore  'Modulare, 80 Plus Gold, 550W' RS550-AFBAG1-EU"
"R-AZ-00074-2019-EU","AZ-07134-2018-EU","2019-01-11 02:30:49","WD5000AAKX","WD WD5000AAKX Blu Hard Disk Desktop da 500 GB, 7200 RPM, SATA 6 GB/s, 16 MB Cache, 3.5 &quot;"
"R-AZ-00075-2019-EU","AZ-08288-2018-EU","2019-01-11 02:52:04","8I-2ADI-X42Q","Elpida Dual Channel Kit Lot de 2 barrettes mémoire DDR3 SO-DIMM (1066 Mhz / 1067 MHz PC3-8500S, CL7, pour Apple et Notebook) - Apple ID 0x02FE - 2 x"
"R-AZ-00076-2019-EU","AZ-07192-2018-EU","2019-01-11 10:02:07","RO-ZS9W-VM4P","Cooler Master G750M Alimentation PC 'Modulaire, 80 Plus Bronze, 750W' RS750-AMAAB1-UK"
"R-AZ-00077-2019-EU","AZ-07369-2018-EU","2019-01-11 10:24:25","KVR13S9S8/4GB","Kingston KVR13S9S8/4 - Memoria RAM de 4 GB (1333 MHz, DDR3, Non-ECC, CL9, SODIMM 204-pin, 1.5 V)"
"R-AZ-00078-2019-EU","AZ-08539-2018-EU","2019-01-11 11:07:00","SGK-3040-KKMF1-IT","Cooler Master Masterkeys LITE L Tastiera, Nero"
